Month of Action Date,Career,Score Reason,Additional Comment
Oct-24,parent,Price,"It's not great to charge a relatively expensive subscription fee for educators who are already making pennies, and in return we receive mediocre products that we have to edit and change anyway. Its better to use TeachersPayTeachers. At least that way you can support a fellow educator who is also poor."
Oct-24,US Grade 2,Price,"I was under the impression this was free and I have not used the service however, i was charged for this"
Oct-24,US Grade 1,Price,I would like the last payment refunded to my account. I'm very unhappy that you took 89.88. out of my account.
Oct-24,US Grade 4,Price,Price not worth the little amount of use - variety of content would be good. Maybe will come back but not now
Oct-24,parent,Price,"I joined for a trial, cancelled and now being charged close to 100$ for something that i canceled. Will be disputing this with my bank ASAP."
Oct-24,ey,Price,"Love the site, wish there were more Licensed (Disney, specific cartoon) pages but overall very satisfied. Just cannot afford any extra subscriptions right now."
Oct-24,US Pre K,Price,We are not currently doing home-schooling and don't really need access to these materials at the moment. I believe it is a great resource and we will be looking into it more seriously if we decide to do homeschooling with our children.
Oct-24,ks4,Resource Quality,"I believe I cancelled the membership immediately after I signed up because I realized there is nothing I can use on the site. I would like to be reimbursed for the months I paid for this- I have not used it at all, and feel that I was trapped into this subscription unwillingly."
Oct-24,US Grade 5,Resource Quality,"I’m annoyed because I cancelled the membership earlier this month, but it charged me. Apparently I have to click cancel 3-4 times to actually cancel. Very frustrating."
Oct-24,ks3,Resource Quality,"I am a world languages teacher looking for vocabulary/ grammar worksheets for levels A1/A2/B1 in French, Spanish, and Chinese, reading passages in the target language, and cultural unit supports."
Oct-24,home ed,Resource Quality,I wasn't notified of a $90 payment that came out of my account today. A reminder would be nice to have received so I had the option to renew or cancel. i seriously thought I cancelled my subscription back in January. I did download a pdf a few days ago but I figured it was in the free section seeing as I was able to do so with no warnings saying it would automatically renew my subscription.
Oct-24,US Grade 6,Resource Quality,I’ve been paying double per month because I guess I signed up on two emails and I haven’t heard back from customer service to cancel one of them
Oct-24,US Grade 4,Resource Quality,I used the resource for a goal in a peds hospital for a year and we met our goal. We no longer need the resource.
Oct-24,ks3,Variety of Materials,"you make us say we want to cancel THREE TIMES. ""we're sad to see you go"" leads one to believe iyt has been cancelled. I cancelled LAST month, but now I am charged AGAIN and I see I had to say ""cancel anyway"" THREE times. not cool."
Oct-24,sen,Variety of Materials,"I was searching for resources for high school vocational students. I found very little and don't want to pay for something I don't use. If you get more vocational resources, let me know."
Oct-24,US Grade 7,Variety of Materials,I am looking for color by number activities for multiple 6-8 math standards and I am looking for more practice worksheets for 6-8 math standards.
Oct-24,US Grade 5,Variety of Materials,"I don't know how I got changed to the $8/month subscription, definitely not using it enough to warrant that."
Oct-24,US Pre K,Variety of Materials,I don't like it taken off my debit card. Every month my card gets locked because I have to pay for your membership and also charged a fee for you being international. I would rather not have the hassle of going to the bank every time my card is locked.
Oct-24,sen,Variety of Materials,Visual activities for various speech therapy goals that don't require cutting or pasting a print-out. What I mostly found here were printable posters.
Oct-24,US Grade 3,Variety of Materials,Biden Harris administration has ruined this economy and inflation is through the roof. It’s so expensive to just buy groceries and gas.
Oct-24,sen,Variety of Materials,I really like the amount of resources i found on here. I just can't afford the membership at this time.
Oct-24,ks4,Customer Service,"The website says the planner is available in the US, but then when I check to see when it's arriving it says it's NOT available in the US?!"
Oct-24,US Grade 3,Price,"The organization of the materials is also not very user-friendly. Often the resources I need exist, but it takes a lot of effort to find."
Oct-24,adult educator,Price,"Price doesn't warrant material. I have found some errors, and this simply shouldn't be. I pay for this!"
Oct-24,ks2,Price,My school stop paying for it...so I have been paying each month. I just don't want to do that anymore.
Oct-24,sen,Resource Quality,"Downloading resources is very difficult, as some of them indicate the path is too long, some need to be extracted, others just don't work."
Oct-24,sen,Resource Quality,Great stuff but I don't use them much and I have to adjust most assignments based on my students needs and end up needing to make more than find things.
Oct-24,esl,Variety of Materials,"It is a very good site and I may subscribe again soon, however at this time I am at a new job and I don;t use it."
Oct-24,US Grade 1,Variety of Materials,"main idea/central message for 1st grade, reading comprehension passages for 1st grade, science/social studies resources for 1st grade"
Oct-24,ta,Variety of Materials,"Our district has a lot of new resources, so I can now stop paying for products out of my own pocket. Thank you for what you do."
Oct-24,US Pre K,Customer Service,"You company charge my account after saying I want to cancel. Now I have to report fraud, and my card has been closed so I have to figure out how to pay my bills without a card. Thanks so much for being difficult."
Oct-24,sen,Customer Service,"The amount of buttons I had to click to cancel a free trial and prevent auto-renewal was insane. I shouldn't have to ask 4 times to cancel my membership and get bombarded with ads. Also- immediately cancelling a free trial through cancelling your membership (to prevent auto-renewal) is shady business. I won't come back again, thanks."
Oct-24,parent,Ease of Website,It was too hard to login to the app. My ability to set my login and password had expired and I never had time to deal with it until I was forced to “reset” it to cancel before I had to pay for something I was not able to try.
Oct-24,parent,Price,Your site isn’t good I’m paying for nothing and your customer service is horrible nobody ever replies
Oct-24,slt,Price,Our company security will not let me extract zipped files so I am unable to obtain a majority of the resources.
Oct-24,US Kindergarten,Price,i cant print out everything easily its always giving me problems. the material is great but that is about it
Oct-24,US Grade 5,Price,Great materials. I just don't need to pay for my materials when I can take the time to make them or find them for free.
Oct-24,US Grade 4,Resource Quality,"The science resources were inadequate for my needs. Not rigourous enough, variety of science concepts were limited."
Oct-24,US Grade 8,Variety of Materials,As my homeschool students have gone into junior high and high school there was no need for these resources anymore.
Oct-24,US Grade 4,Variety of Materials,I absolutely love this site! I've used so many of the resources. I highly recommend it to all my teachers.
Oct-24,US Pre K,Price,I absolutely love this website! I just can't afford to pay anything at the moment but I'd love to come back when I can!
Oct-24,parent,Resource Quality,"I needed a handful of resources for a project that is completed. I am not a teacher or have any use for these resources any further.
 Also it was Hard to figure out how to cancel my membership - and that is rude"
Oct-24,US Grade 8,Resource Quality,"Resources not very good....hard to know without downloading, hard to search, cumbersome, lacked many activity types I was hoping for"
Oct-24,US Grade 7,Resource Quality,I also registered for the free planner and never got it. I also emailed your company and they were going to make sure it was sent and I still didn't receive one.
Oct-24,parent,Resource Quality,I enjoyed material. My only complaint is that the answer key to one for the math worksheets had incorrect answers.
Oct-24,parent,Resource Quality,I love it and will consider joining again when I am in a position to utilize the resources more often:-)
Oct-24,ey,Resource Quality,"I tried to find a way to switch my ultimate membership to core, but there wasn't an option for that."
Oct-24,US Grade 8,Variety of Materials,"although there is a variety of resources, none are meeting the needs of my curriculum and students."
Oct-24,sen,Variety of Materials,"I am a middle school/ high school special education teacher, and I just don't see enough resources related to the populations I work with to justify keeping an account. Thanks for the introduction-- at least I know more of what's out there now."
Oct-24,US Grade 7,Variety of Materials,"While I find the activities engaging, I find there are not consistently enough materials at the 7th grade level for math."
Nov-24,US Grade 1,Price,I cancelled last year!! and it was still renewed. If a renewal is coming up a notification would be nice
Nov-24,ey,Variety of Materials,I would absolutely love to keep your service as my highly autistic 7 year old uses it all the time but I can no longer get afford it as I'm a si gle mom of two that had recently lost my main source of income
Nov-24,US Grade 1,Price,"This is a fantastic site for homeschooling parents, teachers, and parents trying to include additional resources for their kids!"
Nov-24,sen,Resource Quality,I wish materials were more interactive rather than just powerpoints or print and go (which requires prep work to set up and is hard to accomplish when you are working on multiple skills with various groups back to back).
Nov-24,US Pre K,Resource Quality,Not interested. Curious about your sign language material but no pictures are shown with signs and they come across as confusing.
Nov-24,ey,Resource Quality,Not practical for preschool age children. Printable are too advanced and videos do not keep their attention.
Nov-24,US Kindergarten,Resource Quality,"Bilingual teacher teaches Traditional Chinese to 5-year-old children, Especially phonetic symbols ZHUYIN"
Nov-24,US Kindergarten,Resource Quality,Great site and resources...just don't need them at the moment. Looking for more targeted and a lot of the ones on here are too general for me to use with my students
Nov-24,US Grade 8,Resource Quality,I asked the director of the program I work for to purchase the plan. I personally can't afford it on my own.
Nov-24,ks1,Resource Quality,I am a Christian Educator working with the children and youth on a special events basis. Thank you for the opportunity to test out your materials.
Nov-24,parent,Resource Quality,You had some great resources and activity sheets that I needed for a family Christmas party. I've downloaded them and don't really need anything else.
Nov-24,US Grade 2,Resource Quality,I used the resource to help set up a presentation for soldiers presenting to a second grade class. I teach college level classes so I will probably not use this again any time soon. Excellent resource.
Nov-24,US Pre K,Variety of Materials,I needed more clipart that was easy to print out. I wanted to print out things for my felt board for my preschool music class.
Nov-24,US Grade 5,Price,My credit card keeps getting charged even after cancelling and it will not let me delete payment method when I add another.
Nov-24,sen,Variety of Materials,"I need dyslexia specific resources. In one advertisement I saw for your site, I thought there would be more. There wasn't. Only a few that I could use. You have many other great resources for a classroom teacher, but I am only a dyslexia therapist and I would never use any of your other resources."
Nov-24,tutor,Variety of Materials,"It's always a delight to use your resources, unfortunately I'm not well off enough to afford it for now."
Nov-24,US Kindergarten,Variety of Materials,I didn't have enough time to look at everything you have. It would probably be better for me to join before the school year starts to have more time to look at everything. I may come back when I have more time to invest.
Nov-24,US Pre K,Variety of Materials,"As soon as I have the income to keep it completely, I will be back. This site is great and really helped my daughter"
Nov-24,US Grade 3,Variety of Materials,Excellent site! If I would use it more often then I would keep my subscription. I am a maker studio teacher and have a very limited scope of need.
Nov-24,ks1,Variety of Materials,My parish provides us with workbooks and bibles for children. I originally found you to fill the time between class start date and receipt of provided materials. I have told my teacher friends because I think your offerings are creative and abundant.
Nov-24,US Grade 1,Variety of Materials,I am 9-12 teacher now and I just don't use the resources like I did with the elementary/middle school students.
Nov-24,sen,Price,I am planning on retiring at the end of this year. I also switched banks and am having issues trying to switch that.
Nov-24,US Grade 4,Price,New position working with at risk older students and material is provided so I don't need your awesome material. I love all you have here!
Nov-24,US Pre K,Price,"I have another account, I accidentally signed up twice and have been getting double billed... which I can't afford."
Nov-24,US Grade 5,Resource Quality,"I got this last year for an assignment that my son needed some photos for a tri board for. I've kept it each month because I knew as soon as I had time I could come and choose a bunch of lesson plans for him. I've come today and found the website to be difficult. Out of the five lessons I looked at, 3 would not download, and the others didn't actually teach the lesson they were categorized under... but just asked questions that a child wouldn't know without the lesson. I'm extremely disappointed and can't believe how much I've spent to literally not even have one lesson for him to do."
Nov-24,sen,Resource Quality,I have tried to cancel this for months now and you continue to charge me. I haven’t used a resource and I would like a full refund!
Nov-24,sen,Resource Quality,I was not able to download PDFs and have tried numerous things to open them and they won't open so I dont want to pay for a subscription if I am unable to use it.
Nov-24,US Grade 5,Resource Quality,I thought I had cancelled before and am pissed that it still went through. Hopefully I am now unsubscribed. thank you
Nov-24,sen,Resource Quality,"I'm going to try Education.com
 Twinkl is okay, but the one thing I hate is the amount of blue ink that is wasted every time I print. I understand putting your name/logo, but I don't need a whole banner of blue on the bottom. It's distracting for students and wastes ink. There is too much ""decorative fluff"" on the pages which makes the actual content smaller."
Nov-24,US Grade 3,Resource Quality,The quality of the content was hit or miss and there is lots of heavily Christian content that is promoted as secular educational materials
Nov-24,Other,Resource Quality,"I may be back the next time I am looking for a specific resource. I don't like the monthly subscription piece, though."
Nov-24,US Grade 3,Resource Quality,"Twinkl has great resources. My position changed to intervention, and I don't need any new resources."
Nov-24,US Grade 1,Price,My school won't pay for it and I don't want to pay for it out of my own pocket right now. Thank you for allowing me to view the materials.
Nov-24,US Pre K,Price,You provide a wealth of information. There is so much that I have no need for. Have you ever thought of a mini subscription to just one age group?
Nov-24,ey,Price,Im a stay at home mom just trying to teach a child in my care and i can find pages for free. Since i dont have enough to pay subscription
Nov-24,US Pre K,Variety of Materials,I am looking for everything thing. Unique things and this website jus has a hand full of things and it’s all the same.
Nov-24,US Grade 6,Variety of Materials,Different math related topics that I can use without alot of recreation on my part. I have ended up creating my own PowerPoints anyway.
Nov-24,US Grade 2,Variety of Materials,Please refund the payment you collected though I had seven more days BEFORE the subscription was due for renewal. Thank you.
Nov-24,US Grade 3,Variety of Materials,This is ridiculous how difficult it was to cancel. I will be very hesitant now to consider returning.
Nov-24,US Grade 2,Variety of Materials,"Switched jobs, no longer have access to the email associated with this account. If I open a new account, I would use a different email."
Nov-24,US Grade 4,Variety of Materials,I am having some financial issues and need to cancel all extra subscriptions. I hope to reactivate when I am in better financial shape.
Nov-24,US Grade 3,Variety of Materials,Excellent for when I need things but I’m not a full time teacher anymore and just use it occasionally for my niece
Nov-24,librarian,Variety of Materials,I actually have an annual membership and I paid for it then I didn't realize it and so I am canceling this monthly one. I am going to try to connect this email but need to cancel this account first. The annual account is under sorensen.britt@gmail.com. Thank you!
Nov-24,parent,Variety of Materials,I wish I had the resources to pay for this monthly but my paycheck has been reduced so I have to find all the ways to save money. Thank you
Nov-24,sen,Variety of Materials,This school year I am not teaching any math classes which is the majority of the materials I used from Twinkl. I love this site and I'm sure one day I'll be back.
Nov-24,US Pre K,Variety of Materials,"Education has gotten so political and as an older, seasoned teacher, I felt the need to change careers at 54. Thanks for the materials."
Nov-24,parent,Variety of Materials,I think I may have two different memberships going and not sure. Canceling until I can figure it out.
Nov-24,sen,Variety of Materials,"I'm switching grade levels/ paths....plan to come back after I settle, but don't know when that will be."
Nov-24,US Grade 6,Customer Service,"You advertise that I can cancel anytime, but it required many steps and temptations. Not a site I would recommend to friends."
Nov-24,US Grade 1,Ease of Website,I don't like how the downloads are hard to access and how difficult it is to edit the editable downloads. The amount of steps to access downloads even after extracted is ridiculous.
Nov-24,US Grade 8,Ease of Website,I find it difficult to find the pages I want to print. downloads difficult to determine exactly what worksheets they are unless I only download 1 at a time which is not time effective
Nov-24,US Grade 4,Ease of Website,"Teachers Pay Teachers and Super Teachers Worksheets, both are easier to find specific grade level topics more quickly."
Nov-24,ks5,Resource Quality,"twinkl was a lifesaver when I was teaching younger children, but when I made the move to upper grades, the curriculum had less wiggle room and I wasn't able to find as many things that were as applicable. I'd still recommend twinkl to those teaching early childhood."
Nov-24,parent,Customer Service,I hate when this kid of companies using wrong marketing by charging people without their consent. You are stealing our money and that’s what kept me away from you
Nov-24,US Grade 1,Customer Service,cancelled and still charging me. rip off website my credit card will be getting my money back. scam website.
Nov-24,US Grade 2,Customer Service,I cancelled last month October and still got charged in November. Worst experience. Don’t recommend to any teachers. I contacted customer service and never got a reply.
Nov-24,US Grade 2,Customer Service,Extremely unhappy about the deceptive way you need to hit a cancellation option 3x before actually ending the membership. I tried canceling the previous month and thought I had canceled until I saw the charge in my bank account.
Nov-24,US Pre K,Customer Service,I already cancelled and have cancellation emails! I complained and asked for a refund and the next email was indicating i renewed the account!!!!! and you planned to charge me again! I will be putting in a horrible review of your services!
Nov-24,ey,Customer Service,I had asked 3 times to cancel and continue to be charged. I want to cancel and work like a refund for the last 3 months I’ve been charged
Nov-24,US Grade 4,Customer Service,"I did not want this membership, I think I accepted a trial and the membership continued for 4 months from there. I would like a full refund please."
Nov-24,ey,Ease of Website,"Please don't make it so difficult to actually cancel my membership because I thought I had already officially cancelled it several months ago but I guess it never went through due to your unhelpful un-userfriendliness. I do like that you have materials in Zulu though, very diverse and inclusive."
Nov-24,ks5,Ease of Website,I hate it when you intentionally make it difficult to unsubsubscribe. I would have paused my membership but just looking at the hostile UI that made me click through 3 different options settled my decision to cancel permanently.
Nov-24,parent,Ease of Website,The creating membership was extremely confusing and I ended up signing up for 2 accounts thinking it hadn’t worked and got charged twice.
Nov-24,US Grade 5,Ease of Website,"I thought that I had cancelled this subscription two months ago…you make it very hard to cancel a subscription which cost me extra money. I am taking a screen shot of this form, and if I am charged again next month, I will report you to the BBB and any other agency that would be appropriate."
Nov-24,US Grade 6,Ease of Website,Overall it's decent and I might come back. I homeschool my son. Kind of hard to find what I need on the website.
Nov-24,US Kindergarten,Ease of Website,"I was tutoring my grandchildren who had fallen behind academically during Covid they are doing well in school now and their mom has a membership she now uses with her kids
 thanks for your help"
Nov-24,US Grade 6,Ease of Website,Loved this but school is providing this website for students so thats why canceling personal account.
Nov-24,US Grade 3,Price,I had no idea I was still subscribed and I am HORRIFIED I have been paying this subscription for SO MANY MONTHS. I want a refund since I have not used it since signing up LAST YEAR.
Nov-24,esl,Price,"I never wanted this membership, I I thought I had cancelled it. the cancelling process is long and confusing. I was charged and I am very unhappy with that."
Nov-24,home ed,Price,I cancelled my membership like years ago and somehow I'm paying 10$ a month. I know it was cancelled. How long does this go back?!
Nov-24,parent,Price,"I cancelled this membership last month, but was billed again this month. I just cancelled again, but I will be disputing the charge with PayPal. You make it difficult to cancel, and your multiple ""Are you sure"" screens and the the requirement to confirm ""cancel anyway"" on more than one screen are misleading. I'll warn other teachers away from doing business with you."
Nov-24,US Grade 4,Price,I didn’t realize that I was paying a monthly fee for over year now. My husband just asked what this subscription was…I just wish I would have know that I had a membership. That was a lot of money wasted.
Nov-24,US Pre K,Price,I do not recall signing up for this membership. I just noticed that I was have been being billed and never used it.
Nov-24,US Kindergarten,Price,i forgot to cancel this before it renewed. I dont use this enough as I am not a teacher. I would like a refund. I dont have that kind of money to spend.
Nov-24,US Kindergarten,Price,I did not mean to sign up for this. I couldn't even use the free services. I would like my $9.00 refunded.
Nov-24,US Grade 7,Price,Wish I had cancelled this early. Unfortunately it's not a resource I can afford nor use. I didn't get back to you to cancel in time of the 1 year renewal.
Nov-24,US Grade 4,Price,I tried to cancel before it auto-renewed and it did not cancel. I am frustrated that it did not work and still charged me.
Nov-24,sen,Price,I did not even know I was subscribed to this website. I have been making payments without my knowledge. And the cancelation process was ridiculous. I had to scroll all the way to the bottom of my screen to press “cancel” at least 3 times. The process felt dishonest
Nov-24,US Grade 3,Price,I am no longer teaching in person - just online and can't use this - although I just paid for a year last week without realizing it until I saw it on my credit card.
Nov-24,US Grade 3,Price,I had two accounts for over 3 months. I didnt realize i had another account under my personal email dustygail @ gmail.com
Nov-24,sen,Price,Make the cancellation process better. I cancelled back in August I was under the impression that my subscription would in fact be cancelled only to find out that it wasn't. I have been charged for the past 3 months. I had to go through the cancellation process 3 times before it brought me to the current page.
Nov-24,US Grade 1,Price,"You did not inform me payment was coming up, there was a bundle package with it, and that there was a price increase. Caught my bills off guard."
Nov-24,ks1,Price,It is great and I look forward to trying it again in the future but I currently do not have the money for it.
Nov-24,sen,Price,"I was unaware I was being billed. My mistake, however I have not found this websight very useful. Seems like a waste of alot of money."
Nov-24,US Grade 3,Resource Quality,I thought I canceled this after the free trial. I have been out of work since last December with stage 4 cancer . I reached out several times and no one contacted me
Nov-24,sen,Resource Quality,I was in 4th-6th grade but moved to Pre-K and i find the pre-k is not as engaging or as much available for those ages. Plus I wish you could print directly from the website without having to down load it first.
Nov-24,US Grade 4,Variety of Materials,My kids are in specialty schools and I don't use the services enough and they are getting to middle school grade and don't really do the stuff from here.
Nov-24,slt,Ease of Website,"I really enjoy Twinkl. However I think you should mention more of the extras that you showed during my cancellation. I didn't realize Twinkl had ALL of the extra stuff to offer. At this time I do not use my membership enough and need to spend my resources elsewhere, but will keep Twinkl in mind for the future."
Nov-24,US Pre K,Price,I actually used it so infrequently that I forgot I had the membership. I am no longer working in the schools.
Nov-24,sen,Price,Me encantaron los recursos y los use mucho con mis estudiantes . Solo que el precio es alto para mi y no puedo pagarlo. Gracias por crear tan buen material .
Dec-24,US Grade 3,Price,I'm so sad to cancel this subscription. Perhaps I can get my school district on board with a subscription K-4 next year.
Dec-24,US Grade 3,Price,I don’t use it enough to justify the cost but this was such an amazing resource and I wish more people knew about it
Dec-24,sen,Resource Quality,According to my bank account I have already been billed on November 27. I expect that my account will remain active until that time next year
Dec-24,adult educator,Variety of Materials,"Please add more resources formatted for mobile devices. My students are all remote and most do not have a desktop or laptop, but join class via smartphone therefore all of your content must be re-formatted (less content per page, large fonts, etc) so it can be legible for students using a hand-held device."
Dec-24,esl,Variety of Materials,Twinkl is a wonderful and affordable resource! I will definitely resubscribe if I go back to teaching!
Dec-24,ey,Variety of Materials,I was unexpectedly released from my position at the beginning of September and didn't realize I was still subscribed to this service. I am unemployed and cannot afford to keep it until I find a new job.
Dec-24,US Grade 1,Ease of Website,The materials are not compatible with Google Suite and the downloads are automatically opened with Word instead of Google.
Dec-24,US Grade 1,Ease of Website,"Not very easy to find product and just print. Would subscribe if it was easier to search, find and print."
Dec-24,Other,Price,Your process for cancelling requires too many steps. It is an extremely predatory practice. You should be ashamed of yourselves.
Dec-24,US Grade 5,Price,It was supposed to be free and then you attempted to charge my bank account which I never gave my bank information.
Dec-24,US Pre K,Resource Quality,"Twinkl is a lovely resource, but unfortunately I do not currently have the need due to a change in circumstance."
Dec-24,US Grade 3,Resource Quality,Twinkl can be very hard to navigate and find the resources you want in a logical way. Better organization would truly make it a stellar website.
Dec-24,US Kindergarten,Resource Quality,"while I appreciated the volume of creative options you provided, the lead teacher seems to have her own resources for activities"
Dec-24,ks4,Variety of Materials,I teach high school chemistry and the resources I find won't open once downloaded or they are not what I'm looking for on the 10-12 level.
Dec-24,US Grade 6,Price,Don't make it a scavenger hunt to cancel membership. I hate when companies make it difficult to find the cancel membership button.
Dec-24,US Pre K,Price,I have tried to cancel before and I am frustrated that it didn’t work. Am I eligible for a refund? Emily Volz
Dec-24,sen,Price,I never wanted the membership. I created a membership to see what Twinkl was and then got added without my permission.
Dec-24,US Pre K,Price,"I'm so sorry, but I thought I had signed up for a FREE account so that I could access just one resource. I am an educational consultant, not a classroom teacher. The drop downs do not reflect my opinion of your product, but options were limited."
Dec-24,US Grade 2,Price,I thought I already clicked through canceling and was surprised to get a bill this month. Disappointed in this kind of behavior as it is very gotcha-like behavior just to take advantage of users.
Dec-24,ks5,Variety of Materials,"I teach secondary, this is geared to elementary. We’ve found some great stuff that I can partially utilise for my art classes but I’m forced to increase the information or difficulty to make the standards or be something 9-12th graders can’t do in 5 minutes."
Dec-24,US Grade 3,Resource Quality,"I was looking for more basic Addition & subtraction worksheets. Working with 2 & 3 digit problems, as well as others that may be helpful. I feel like this material doesn’t teach my child it’s more of a summer school activity so that he doesn’t forget."
Dec-24,ey,Price,I cancelled my membership 2 months ago so why am I being charged. Your company is just taking money when people are struggling
Dec-24,ks4,Price,I am currently out of work and need all of my resources to cover my living expenses. I have not used this service in a couple of months and would like a refund for the months of November and December.
Dec-24,US Grade 1,Price,I did not realized I signed up for this and have lost money I had no idea i was being charged for. Refund of all fees would be great! i have never used this service!
Dec-24,ks4,Price,I didn’t even know I was subscribed to this. I’ve been charged since September and I’ve never used this.
Dec-24,US Grade 1,Price,"I have tried cancelling this 3 times. I'm not sure what is happening, but, I CANNOT afford for this to still be coming out of my account. I shouldn't have to weed through 3 or 4 different cancellation windows. Seems shady."
Dec-24,US Grade 4,Price,"Your subscription service is so scammy and you make people click through a ridiculous amount of 'Cancel' buttons to quit.
 
 I will be actively recommending against Twinkl to anybody that asks me about it."
Dec-24,US Grade 3,Price,I cancelled this before the December charge date and it still charged me for December and now I have a $32 overdraft fee on top of it because I had cancelled the subscription and therefore did not include it in my budget.
Dec-24,sen,Price,I cancelled this 2 months ago and continue to be charged. This is ridiculous. Please refund the last 2 months.
Dec-24,Other,Price,"I work for a job coaching service. We used some of these for our skill building but I otherwise cannot say I have much here i can use further. I appreciate the supplies present and see how they are very helpful, but they cannot help me further with my own work."
Dec-24,parent,Price,"I wasn’t using this resource, so at the moment I don’t want to keep paying for a subscription I’m not using."
Dec-24,US Pre K,Price,"This is the only resource I can find for Australian themed materials. I am an Aussie living in the States and so I'd like to have my classroom with an Aussie feel however again I cannot find it anywhere else, so I love that you guys offer that. Ask for now, I cannot afford it although the price is wonderful I will come back when the time allows."
Dec-24,ks4,Variety of Materials,I work with grades 5-12th grade and was struggling finding enough resources that meet my state's level of rigor.
Dec-24,parent,Variety of Materials,I tried to cancel before but forgot my password when I found the right email i notice on my paypal account I was still being charge for the past three months I would like a refund of 27.00
Dec-24,US Grade 8,Price,"I won't need the membership for probably close to another year., so it doesn't make sense to pay for a year that I won't be using it."
Dec-24,US Grade 3,Resource Quality,I don't need the membership regularly but the few things I looked at about holidays were not hitting the spot/somewhat inaccurate
Dec-24,sen,Resource Quality,"Vocational resources for high school special Ed students. I just switched positions, if I’m able to use Twinkl resources I will come back."
Dec-24,US Grade 3,Resource Quality,I needed access to some resources for a school assignment. Just a couple more years of college and then I will be back.
Dec-24,US Grade 6,Variety of Materials,"I don't have ppt on my computer. I am looking for Google Slides formats, and they are few and far between for Spanish materials on this site."
Dec-24,US Grade 6,Resource Quality,"I understand the need to increase membership prices as you have added many resources. However, I only utilize math worksheet (and some science) so I wish the price was less or that there was an option for a cheaper membership. The price started at $50, which I found worth it, but now that it has almost doubled, I cannot justify the cost. Please reach out if there is anything that can be done. abussanich@paramusschools.org"
Dec-24,US Grade 7,Resource Quality,"I was using this resource for my International Students. This school year I only have USA students who need assistance with study for the private school entrance exam ISEE, SSAT, HSPT or SHSAT"
Dec-24,US Grade 4,Variety of Materials,My husband lost his job and I feel I don't use it enough to justify this expense. It's a great resource though and I may rejoin again in the future.
Dec-24,US Pre K,Variety of Materials,"Thanks for the resources I did use. I am retiring and teaching 1/2 preschool and I have a plethora of resources to use now, including some of the resources I got from Twinkl."
Dec-24,US Grade 6,Customer Service,Yes I’ve tried to cancel my membership twice and I keep getting charged. You owe me $9 and if I don’t get it I’m contacting a lawyer. It should not be this hard to cancel a membership.
Dec-24,sen,Customer Service,I have tried to cancel this membership several times but kept getting charged- I'm really frustrated and have asked for a refund on December and that you ensure my account is cancelled. Thank you
Dec-24,US Grade 1,Customer Service,I don’t like that there is no option to talk to a live person…I’ve been trying to cancel this membership for a while now
Dec-24,US Pre K,Customer Service,"I was told I would get an email a week before my free trial ended and my account was charged. I did not get an email and was charged anyway. I had considered keeping the membership, but the inconsistency in policy has annoyed me."
Dec-24,US Grade 1,Customer Service,"I signed up for the free trial to use some resources. I ended up not using the resources as often as I would have liked and cancelled during the free trial period. However, I was still charged the ultimate membership fee for 4 months after I cancelled. You need to notify members if and when they are being charged, especially after using the free trial. I know that you aren't going to want to do that, so you still get your money but that's real sus and will create high turnover rates instead of continuing customers. Use a better business model"
Dec-24,ks1,Customer Service,Please refund the amount taken out for 2025. I thought I canceled this last time they automatically deducted charges. I am no longer a teacher.
Dec-24,parent,Customer Service,"I canceled this back in August, but I did not notice this kept being billed. I am not sure why the cancelation did not go through."
Dec-24,US Grade 4,Ease of Website,I never wanted the membership and then it's so much to cancel it I just paused it and just got an email saying It will restart again if I Dont cancel and I went in and tried to cancel and had to restart inorder to cancel soI got charged 9 dollars for no reason.
Dec-24,US Grade 5,Ease of Website,I was under the impression that I had canceled this membership shortly after signing up. I remember going through the many screens and clicking on cancel anyway. Now I was charged the $8. Unfortunately we didn't use the product. Is there anyway I can kindly get a refund? Please. Thank you.
Dec-24,US Grade 1,Ease of Website,"I flip flop between subbing for ESY and working in ABA. I just don’t use the subscription enough year round, but it definitely saved me when I had to sub until the end of ESY with zero notice last summer!"
Dec-24,sen,Variety of Materials,I am a special education teacher and am looking for more materials that cater to my students needs. There are not many options available on your website.
Dec-24,US Kindergarten,Variety of Materials,I don't like that I can't se a more specifoc preview before downloading even if it is woth aa waatermark. The fact that I haad to download to see what's in is not useful.
Dec-24,ks1,Variety of Materials,"I appreciate the variety and quality of your resources, however, I don't have a great enough need for them to justify a subscription."
Dec-24,US Pre K,Variety of Materials,I will sign up soon under the school name not under my name so I can give all teachers user name and password
Dec-24,US Pre K,Variety of Materials,I've retired so I'm watching pennies and no longer will use the resources. I've been a twinkl member for years and it's been great.
Dec-24,ey,Variety of Materials,I would like a refund because I did not know for months it was charging me and I’m no longer a teacher
Dec-24,US Pre K,Customer Service,I have tried several time to contact your company via email and phone and have unsuccessfully been able to cancel my membership however your company continues to take out a monthly payment and you can see clearly that it has been a while since I've access the materials
Dec-24,US Grade 3,Customer Service,I do not recall signing up for this. I have been charged for a year and have never used it. Very frustrated.
Dec-24,US Kindergarten,Customer Service,"I canceled this already and was charged again. that why I give Twinkl a 2 rating. Once should be enough, and there's not enough Kindergarten activities"
Dec-24,ks4,Customer Service,"There is an unexpected charge from you on my acct after my membership renewed, and I cannot get anyone to answer my questions."
